iter	Passed	Remaining
957	6705	293
958	6711	286
959	6718	279
960	6724	272
961	6731	265
962	6738	258
963	6745	251
964	6752	244
965	6758	237
966	6766	230
967	6773	223
968	6780	216
969	6786	209
970	6793	202
971	6800	195
972	6807	188
973	6814	181
974	6820	174
975	6827	167
976	6833	160
977	6840	153
978	6847	146
979	6854	139
980	6860	132
981	6867	125
982	6874	118
983	6881	111
984	6888	104
985	6895	97
986	6901	90
987	6909	83
988	6915	76
989	6921	69
990	6929	62
991	6935	55
992	6942	48
993	6948	41
994	6956	34
995	6963	27
996	6969	20
997	6976	13
998	6984	6
999	6992	0
