iter	RMSE
793	0.06747885872
794	0.06742405102
795	0.06737113481
796	0.06727913057
797	0.06723131196
798	0.06715473932
799	0.06710070173
800	0.06706576077
801	0.06704392091
802	0.066992685880803	0.066965912080804	0.066873631980805	0.066815400280806	0.066794942180807	0.066745815880808	0.066685355580809	0.066635884180810	0.066613649081811	0.066537807181812	0.066482281812813	0.066474859813814	0.066451029814815	0.066416237815816	0.066360073816817	0.066346095817818	0.066302475818819	0.06622331819	820	0.06616533820	821	0.06615233821	822	0.06611208822823	0.066107988823824	0.066094350824825	0.066026724825826	0.065992070826827	0.065975980827828	0.065932989828829	0.06588462282830	0.065837519283831	0.06579198988832	0.065706945728833	0.065675381968834	0.065636322918835	0.065608308628836	0.0655551353
837	0.06554527286
838	0.06552465704
839	0.06545563184
840	0.065443300688841	0.0654182123
842	0.065368737488843	0.0653351644
844	0.065284580818845	0.065254787818846	0.065167825988847	0.065092257188848	0.065053740038849	0.0649983529
850	0.06493485834
851	0.06488864134
852	0.06485874295
853	0.06481022135
854	0.06476855079
855	0.06473192041
856	0.06469216869
857	0.06461150254
858	0.06453965182
